"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",74,16,34,1,2,49,6,0,6,28
"2",1844,1083,873,2418,3358,6058,53165,5343,9964,9662
"3",3382,2512,1720,1757,2224,3322,2911,3527,24178,33852
"4",32,11,9,21,21,17,175,5,20,48
"5",1894,4111,2523,2674,5882,12285,7645,20770,12769,13749
"6",1076,931,380,153,1540,1377,874,1451,1163,1249
"7",104,74,21,117,6,71,144,294,182,48
"8",17,241,15,169,53,15,60,114,108,201
"9",81,80,100,152,64,188,44,247,142,428
"10",4,14,1,0,38,14,9,8,17,5
"11",1477,882,647,864,852,2525,1417,2325,1427,1325
"12",20,11,10,9,13,42,10,22,25,32
"13",75,59,47,72,55,206,152,114,107,139
"14",51,4,1,8,57,26,33,456,1,86
"15",79,210,52,197,462,590,3643,1402,593,133
"16",3,57,109,92,65,119,29,150,85,68
"17",293,144,44,572,110,386,869,287,487,467
"18",701,811,291,724,233,915,432,1722,609,937
"19",857,502,560,782,620,3099,5088,5740,5926,5664
"20",638,495,595,1408,500,1534,1479,2074,1885,1120
"21",26,161,336,617,154,300,281,813,332,48
"22",51,26,20,26,23,25,28,339,18,19
"23",249,207,224,351,190,334,590,7035,668,406
"24",160,153,46,230,187,267,25,649,272,41
"25",351,529,285,589,285,826,537,614,538,661
"26",216,190,111,2054,48,186,156,499,218,273
"27",165,433,634,130,157,1380,264,395,1705,981
"28",1349,963,121,209,883,663,3170,1216,865,1199
"29",900,476,304,557,781,1400,1071,1140,868,1242
"30",6,1,2,2,3,28,6,1,5,6
"31",11,10,14,10,3,22,4,31,40,2
"32",1586,13787,1331,3144,1450,18452,2838,3539,2861,21359
"33",69,81,37,67,63,77,97,103,60,596
"34",29,8,7,36,11,55,45,39,55,36
"35",7992,6636,4345,6217,4666,10568,10507,17237,12823,7560
"36",26,33,14,99,81,69,14,59,48,60
"37",109,121,89,95,141,161,107,1310,175,141
"38",133,69,22,74,98,73,55,144,93,70
"39",729,809,322,857,844,2217,3851,3629,2098,2598
"40",570,863,2855,1029,662,1170,531,863,797,846
"41",49,9,3,2,10,63,39,23,21,10
"42",125,73,80,1274,241,442,246,521,266,290
"43",1200,2751,721,2769,2631,2625,3081,4257,4186,2313
"44",5,1,1,4,4,1,5,14,3,1
"45",80,31,25,99,85,62,77,190,64,114
"46",1,5,1,7,1,2,8,17,4,8
"47",536,825,521,337,1001,1112,1371,993,1450,1032
"48",1419,1819,1714,2535,1417,11117,2281,4435,2531,2072
"49",2382,8202,1806,4814,5267,4119,37167,4531,3744,5126
"50",95,942,9,64,353,594,467,1773,45,266
"51",217,155,65,468,556,243,883,624,2365,1220
"52",177,10,12,9,3,12,0,13,58,25
"53",800,361,490,2758,399,706,1040,735,2094,558
"54",31,54,16,33,18,17,16,46,16,38
"55",2,8,0,0,0,37,2,13,4,1
"56",0,5,0,80,16,3,37,19,1,40
"57",1026,126,120,60,183,85,304,193,112,38
"58",60,28,19,48,61,82,88,132,41,419
"59",2193,931,798,2048,1743,3236,1497,4906,1159,2367
"60",388,307,206,325,300,952,653,887,423,589
"61",1385,640,753,780,1541,1731,849,1336,1913,882
"62",1254,582,528,722,1048,1055,774,378,8263,1450
"63",159,232,232,265,608,168,137,404,245,989
"64",4,0,3,3,7,6,6,15,3,5
"65",683,790,275,3223,396,1469,4425,2800,2318,2808
"66",577,293,189,273,271,966,573,880,543,709
"67",93,56,9,53,114,88,126,98,135,192
"68",88,20,79,145,27,84,79,106,56,83
"69",2527,2261,1160,1342,1683,2198,4414,4766,4326,670
"70",344,357,129,1694,310,406,350,881,423,442
"71",5,4,0,0,3,6,8,5,1,1
"72",7,13,11,3,6,14,10,7,34,24
"73",40,45,45,32,76,98,51,101,146,71
"74",331,321,167,270,306,899,4262,4811,3575,463
"75",295,1976,407,1131,528,638,409,791,584,282
"76",2433,1191,6961,1837,2350,3795,2114,2069,1315,3050
"77",300,359,138,254,409,508,321,447,325,362
"78",47341,3372,3022,11251,9080,24341,15218,24046,10610,21593
"79",723,1060,1015,1279,975,1544,1140,1868,1749,1382
"80",1943,3098,2266,2148,2904,6685,3799,3044,3537,3112
"81",1808,1562,1149,2086,1080,1762,2953,1988,2064,1533
"82",818,963,308,564,948,2511,1982,1793,1382,1873
"83",291,149,145,326,343,485,474,333,422,486
"84",84,100,80,86,103,988,266,361,199,179
"85",3409,4384,12986,8610,9752,52709,17374,10472,16991,36273
"86",408,98,118,154,6230,5271,5,28,218,581
"87",621,278,772,332,541,2952,1421,1957,9421,272
"88",13895,8973,5646,7245,17875,16219,19583,13040,7970,9127
"89",24,3,5,10,6,12,37,15,11,9
"90",684,58,34,33,39,61,88,105,79,63
"91",4195,1448,877,2850,1040,2364,1910,6814,2926,1524
"92",564,1136,395,662,404,1155,972,2288,1126,697
"93",1951,2476,972,1445,2904,6954,8019,7397,3353,5758
"94",32948,11811,1538,2405,1789,5483,4967,4816,4313,5646
"95",3,1,2,4,5,48,6,4,0,5
"96",3,1,3,3,1,4,2,16,14,6
"97",17,10,0,20,31,22,30,38,68,43
"98",9,0,9,1,0,8,11,19,14,17
"99",2500,2810,828,986,1844,2801,2044,7672,1698,3745
"100",542,613,184,305,692,1118,1036,1166,949,6962
"101",1708,1093,581,2613,1625,2928,2910,1884,2799,4315
"102",3234,3842,950,4023,1516,6393,5662,2663,6114,8690
"103",950,1246,704,935,411,483,1526,1428,1637,611
"104",8507,27842,3466,4164,5300,12499,9281,10531,10022,5051
"105",1100,1888,742,1141,1139,2673,2706,1828,16526,2351
"106",29,48,20,27,12,26,52,53,17,26
"107",0,13,1,15,0,32,28,334,88,1
"108",4,13,5,11,8,51,3,5,42,12
"109",189,352,82,313,1869,508,538,1114,699,268
"110",773,440,2510,611,749,1302,933,1128,1171,744
"111",0,1,3,9,8,3,6,86,0,0
"112",520,305,262,372,334,2239,982,573,586,800
"113",14,28,1,2,35,566,4,16,6,2
"114",6,4,1,3,3,21,1,1,1,125
"115",96,103,57,48,78,156,143,124,118,130
"116",1,3,2,1,0,19,9,4,11,6
"117",3,3,1,0,1,1,1,7,13,1
"118",2979,1681,1218,1723,2699,2915,2209,2716,1656,2203
"119",18,11,14,20,16,21,41,43,26,32
"120",857,1210,1631,2865,2229,2373,2030,3782,2333,2111
"121",76,91,46,82,106,164,125,260,113,191
"122",651,467,484,956,1850,4381,950,1308,301,357
"123",355,306,334,493,329,580,404,425,335,532
"124",4876,4809,1640,2311,995,5327,7408,6531,4260,7640
"125",13,28,166,24,19,3,22,89,160,20
"126",402,549,246,214,459,770,337,1816,621,598
"127",16,43,14,14,18,56,17,8,20,24
"128",3,35,3,0,18,27,36,1,11,577
"129",608,172,196,277,156,586,646,1059,358,248
"130",189,711,253,443,1010,619,1153,276,679,1006
"131",12,7,7,8,7,17,34,60,15,5
"132",171,143,66,101,249,292,387,399,212,418
"133",39,50,9,5,214,53,144,52,76,56
"134",329,127,168,71,124,107,190,928,321,355
"135",8256,12154,7369,9581,10453,14715,15155,22508,16300,11599
"136",491,972,123,88,107,401,220,55,271,690
"137",3,0,3,2,5,3,10,248,1,5
"138",694,1136,656,1342,506,2154,1289,2234,387,2297
"139",57,7,2,5,7,10,14,13,9,12
"140",255,93,74,107,151,236,183,1472,311,170
"141",75,92,54,52,16,38,9,145,77,44
"142",353,398,218,285,270,575,386,542,734,474
